,State,Price,Size,Price per sq.foot,Size in Yards,Price per sq.yards,Beds,Baths,Total Rooms,datesold,postcode,propertyType
0,CA,533,1589,0.3354310887350535,176.379,3.0219017003157975,3,2.5,5.5,2/7/2007 0:00,2607,house
1,CA,533,1589,0.3354310887350535,176.379,3.0219017003157975,3,2.5,5.5,2/27/2007 0:00,2906,house
2,CA,533,1589,0.3354310887350535,176.379,3.0219017003157975,3,2.5,5.5,3/9/2007 0:00,2905,house
3,CA,533,1589,0.3354310887350535,176.379,3.0219017003157975,3,2.5,5.5,4/4/2007 0:00,2905,house
4,CA,533,1589,0.3354310887350535,176.379,3.0219017003157975,3,2.5,5.5,4/24/2007 0:00,2607,house
5,CA,533,1589,0.3354310887350535,176.379,3.0219017003157975,3,2.5,5.5,5/24/2007 0:00,2902,house
6,CA,533,1589,0.3354310887350535,176.379,3.0219017003157975,3,2.5,5.5,5/25/2007 0:00,2906,house
7,CA,533,1589,0.3354310887350535,176.379,3.0219017003157975,3,2.5,5.5,6/26/2007 0:00,2902,house
8,CA,533,1589,0.3354310887350535,176.379,3.0219017003157975,3,2.5,5.5,6/27/2007 0:00,2906,house
9,CA,533,1589,0.3354310887350535,176.379,3.0219017003157975,3,2.5,5.5,6/27/2007 0:00,2612,house
10,CA,533,1589,0.3354310887350535,176.379,3.0219017003157975,3,2.5,5.5,6/28/2007 0:00,2904,house
11,CA,533,1589,0.3354310887350535,176.379,3.0219017003157975,3,2.5,5.5,6/30/2007 0:00,2615,house
12,CA,533,1589,0.3354310887350535,176.379,3.0219017003157975,3,2.5,5.5,7/2/2007 0:00,2914,house
13,CA,533,1589,0.3354310887350535,176.379,3.0219017003157975,3,2.5,5.5,7/3/2007 0:00,2906,house
14,CA,533,1589,0.3354310887350535,176.379,3.0219017003157975,3,2.5,5.5,7/8/2007 0:00,2600,house
15,CA,533,1589,0.3354310887350535,176.379,3.0219017003157975,3,2.5,5.5,7/12/2007 0:00,2602,house
16,CA,533,1589,0.3354310887350535,176.379,3.0219017003157975,3,2.5,5.5,7/18/2007 0:00,2602,house
17,CA,533,1589,0.3354310887350535,176.379,3.0219017003157975,3,2.5,5.5,7/20/2007 0:00,2605,house
18,CA,533,1589,0.3354310887350535,176.379,3.0219017003157975,3,2.5,5.5,7/20/2007 0:00,2904,house
19,CA,533,1589,0.3354310887350535,176.379,3.0219017003157975,3,2.5,5.5,7/21/2007 0:00,2603,house
20,CA,533,1589,0.3354310887350535,176.379,3.0219017003157975,3,2.5,5.5,7/30/2007 0:00,2611,house
21,CA,533,1589,0.3354310887350535,176.379,3.0219017003157975,3,2.5,5.5,7/31/2007 0:00,2605,house
22,CA,533,1589,0.3354310887350535,176.379,3.0219017003157975,3,2.5,5.5,7/31/2007 0:00,2903,house
23,CA,533,1589,0.3354310887350535,176.379,3.0219017003157975,3,2.5,5.5,8/3/2007 0:00,2905,house
24,CA,533,1589,0.3354310887350535,176.379,3.0219017003157975,3,2.5,5.5,8/3/2007 0:00,2607,house
25,CA,533,1589,0.3354310887350535,176.379,3.0219017003157975,3,2.5,5.5,8/7/2007 0:00,2904,house
26,CA,533,1589,0.3354310887350535,176.379,3.0219017003157975,3,2.5,5.5,8/10/2007 0:00,2602,house
27,CA,533,1589,0.3354310887350535,176.379,3.0219017003157975,3,2.5,5.5,8/10/2007 0:00,2602,house
28,CA,533,1589,0.3354310887350535,176.379,3.0219017003157975,3,2.5,5.5,8/11/2007 0:00,2602,house
29,CA,533,1589,0.3354310887350535,176.379,3.0219017003157975,3,2.5,5.5,8/14/2007 0:00,2617,house
